pc,locality
15290,Venustiano Carranza
15300,Venustiano Carranza
15309,Venustiano Carranza
15310,Venustiano Carranza
15320,Venustiano Carranza
15330,Venustiano Carranza
15339,Venustiano Carranza
15340,Venustiano Carranza
15350,Venustiano Carranza
15370,Venustiano Carranza
15380,Venustiano Carranza
15390,Venustiano Carranza
15400,Venustiano Carranza
15410,Venustiano Carranza
15420,Venustiano Carranza
15430,Venustiano Carranza
15440,Venustiano Carranza
15450,Venustiano Carranza
15460,Venustiano Carranza
15470,Venustiano Carranza
15500,Venustiano Carranza
15510,Venustiano Carranza
15520,Venustiano Carranza
15530,Venustiano Carranza
15540,Venustiano Carranza
15600,Venustiano Carranza
15610,Venustiano Carranza
15620,Venustiano Carranza
15630,Venustiano Carranza
15640,Venustiano Carranza
15640,Venustiano Carranza
15650,Venustiano Carranza
15660,Venustiano Carranza
15670,Venustiano Carranza
15680,Venustiano Carranza
15700,Venustiano Carranza
15710,Venustiano Carranza
15730,Venustiano Carranza
15740,Venustiano Carranza
15750,Venustiano Carranza
15800,Venustiano Carranza
15810,Venustiano Carranza
15820,Venustiano Carranza
15830,Venustiano Carranza
15840,Venustiano Carranza
15850,Venustiano Carranza
15860,Venustiano Carranza
05270,Cuajimalpa de Morelos
05280,Cuajimalpa de Morelos
05310,Cuajimalpa de Morelos
05320,Cuajimalpa de Morelos
05330,Cuajimalpa de Morelos
05330,Cuajimalpa de Morelos
05330,Cuajimalpa de Morelos
05330,Cuajimalpa de Morelos
05348,Cuajimalpa de Morelos
05360,Cuajimalpa de Morelos
05370,Cuajimalpa de Morelos
05379,Cuajimalpa de Morelos
05400,Cuajimalpa de Morelos
05410,Cuajimalpa de Morelos
05410,Cuajimalpa de Morelos
05500,Cuajimalpa de Morelos
05520,Cuajimalpa de Morelos
05530,Cuajimalpa de Morelos
05600,Cuajimalpa de Morelos
05610,Cuajimalpa de Morelos
05700,Cuajimalpa de Morelos
05710,Cuajimalpa de Morelos
05730,Cuajimalpa de Morelos
05750,Cuajimalpa de Morelos
05760,Cuajimalpa de Morelos
05780,Cuajimalpa de Morelos
06000,Cuauhtémoc
06010,Cuauhtémoc
06020,Cuauhtémoc
06030,Cuauhtémoc
06040,Cuauhtémoc
06050,Cuauhtémoc
06060,Cuauhtémoc
06070,Cuauhtémoc
06080,Cuauhtémoc
06090,Cuauhtémoc
06100,Cuauhtémoc
06140,Cuauhtémoc
06170,Cuauhtémoc
06200,Cuauhtémoc
06220,Cuauhtémoc
06240,Cuauhtémoc
06250,Cuauhtémoc
06270,Cuauhtémoc
06280,Cuauhtémoc
06300,Cuauhtémoc
06350,Cuauhtémoc
06400,Cuauhtémoc
06430,Cuauhtémoc
06450,Cuauhtémoc
06470,Cuauhtémoc
06500,Cuauhtémoc
06600,Cuauhtémoc
06700,Cuauhtémoc
06720,Cuauhtémoc
01389,Álvaro Obregón
01400,Álvaro Obregón
01400,Álvaro Obregón
01407,Álvaro Obregón
01408,Álvaro Obregón
01410,Álvaro Obregón
01410,Álvaro Obregón
01419,Álvaro Obregón
01420,Álvaro Obregón
01420,Álvaro Obregón
01430,Álvaro Obregón
01450,Álvaro Obregón
01460,Álvaro Obregón
01470,Álvaro Obregón
01470,Álvaro Obregón
01480,Álvaro Obregón
01490,Álvaro Obregón
01500,Álvaro Obregón
01500,Álvaro Obregón
01509,Álvaro Obregón
01510,Álvaro Obregón
01510,Álvaro Obregón
01510,Álvaro Obregón
01520,Álvaro Obregón
01520,Álvaro Obregón
01520,Álvaro Obregón
01520,Álvaro Obregón
01520,Álvaro Obregón
01530,Álvaro Obregón
01538,Álvaro Obregón
01539,Álvaro Obregón
01539,Álvaro Obregón
01540,Álvaro Obregón
01540,Álvaro Obregón
01540,Álvaro Obregón
01540,Álvaro Obregón
01548,Álvaro Obregón
01549,Álvaro Obregón
01550,Álvaro Obregón
01550,Álvaro Obregón
01550,Álvaro Obregón
01560,Álvaro Obregón
01560,Álvaro Obregón
01560,Álvaro Obregón
01560,Álvaro Obregón
01566,Álvaro Obregón
01569,Álvaro Obregón
01588,Álvaro Obregón
01590,Álvaro Obregón
01600,Álvaro Obregón
01610,Álvaro Obregón
01610,Álvaro Obregón
01618,Álvaro Obregón
01618,Álvaro Obregón
01619,Álvaro Obregón
16430,Xochimilco
16440,Xochimilco
16443,Xochimilco
16450,Xochimilco
16457,Xochimilco
16459,Xochimilco
16500,Xochimilco
16513,Xochimilco
16513,Xochimilco
16514,Xochimilco
16514,Xochimilco
16514,Xochimilco
16520,Xochimilco
16530,Xochimilco
16530,Xochimilco
16533,Xochimilco
16550,Xochimilco
16600,Xochimilco
16604,Xochimilco
16605,Xochimilco
16606,Xochimilco
16607,Xochimilco
16609,Xochimilco
16610,Xochimilco
16614,Xochimilco
16615,Xochimilco
16616,Xochimilco
16617,Xochimilco
16620,Xochimilco
16629,Xochimilco
16629,Xochimilco
16630,Xochimilco
16640,Xochimilco
16710,Xochimilco
16720,Xochimilco
16739,Xochimilco
16740,Xochimilco
16749,Xochimilco
16750,Xochimilco
16770,Xochimilco
16776,Xochimilco
16776,Xochimilco
16780,Xochimilco
16780,Xochimilco
16780,Xochimilco
16780,Xochimilco
16780,Xochimilco
16797,Xochimilco
16799,Xochimilco
16800,Xochimilco
16810,Xochimilco
16810,Xochimilco
16810,Xochimilco
16813,Xochimilco
16840,Xochimilco
16850,Xochimilco
16860,Xochimilco
16880,Xochimilco
16900,Xochimilco
04040,Coyoacán
04100,Coyoacán
04120,Coyoacán
04120,Coyoacán
04200,Coyoacán
04210,Coyoacán
04230,Coyoacán
04240,Coyoacán
04250,Coyoacán
04260,Coyoacán
04260,Coyoacán
04260,Coyoacán
04260,Coyoacán
04300,Coyoacán
04310,Coyoacán
04318,Coyoacán
04320,Coyoacán
04320,Coyoacán
04330,Coyoacán
04330,Coyoacán
04330,Coyoacán
04340,Coyoacán
04360,Coyoacán
04360,Coyoacán
04369,Coyoacán
04370,Coyoacán
04370,Coyoacán
04380,Coyoacán
04380,Coyoacán
04390,Coyoacán
04390,Coyoacán
04400,Coyoacán
04410,Coyoacán
04420,Coyoacán
04440,Coyoacán
04440,Coyoacán
04440,Coyoacán
04450,Coyoacán
04460,Coyoacán
04470,Coyoacán
04470,Coyoacán
04480,Coyoacán
04480,Coyoacán
04480,Coyoacán
04480,Coyoacán
04489,Coyoacán
04490,Coyoacán
04490,Coyoacán
04500,Coyoacán
04510,Coyoacán
04519,Coyoacán
04530,Coyoacán
04600,Coyoacán
04610,Coyoacán
04620,Coyoacán
04630,Coyoacán
07183,Gustavo A. Madero
07187,Gustavo A. Madero
07188,Gustavo A. Madero
07189,Gustavo A. Madero
07190,Gustavo A. Madero
07199,Gustavo A. Madero
07200,Gustavo A. Madero
07207,Gustavo A. Madero
07209,Gustavo A. Madero
07210,Gustavo A. Madero
07214,Gustavo A. Madero
07220,Gustavo A. Madero
07220,Gustavo A. Madero
07224,Gustavo A. Madero
07230,Gustavo A. Madero
07239,Gustavo A. Madero
07240,Gustavo A. Madero
07250,Gustavo A. Madero
07259,Gustavo A. Madero
07268,Gustavo A. Madero
07270,Gustavo A. Madero
07279,Gustavo A. Madero
07280,Gustavo A. Madero
07290,Gustavo A. Madero
07300,Gustavo A. Madero
07300,Gustavo A. Madero
07310,Gustavo A. Madero
07320,Gustavo A. Madero
07320,Gustavo A. Madero
07330,Gustavo A. Madero
07340,Gustavo A. Madero
07340,Gustavo A. Madero
07350,Gustavo A. Madero
07350,Gustavo A. Madero
07359,Gustavo A. Madero
07360,Gustavo A. Madero
07369,Gustavo A. Madero
07370,Gustavo A. Madero
07380,Gustavo A. Madero
07380,Gustavo A. Madero
07400,Gustavo A. Madero
07410,Gustavo A. Madero
07410,Gustavo A. Madero
07420,Gustavo A. Madero
07420,Gustavo A. Madero
07430,Gustavo A. Madero
07440,Gustavo A. Madero
07450,Gustavo A. Madero
07455,Gustavo A. Madero
07456,Gustavo A. Madero
07460,Gustavo A. Madero
07469,Gustavo A. Madero
07470,Gustavo A. Madero
07480,Gustavo A. Madero
07500,Gustavo A. Madero
07509,Gustavo A. Madero
02480,Azcapotzalco
02490,Azcapotzalco
02500,Azcapotzalco
02519,Azcapotzalco
02520,Azcapotzalco
02530,Azcapotzalco
02600,Azcapotzalco
02630,Azcapotzalco
02630,Azcapotzalco
02640,Azcapotzalco
02650,Azcapotzalco
02660,Azcapotzalco
02670,Azcapotzalco
02680,Azcapotzalco
02700,Azcapotzalco
02710,Azcapotzalco
02719,Azcapotzalco
02720,Azcapotzalco
02720,Azcapotzalco
02730,Azcapotzalco
02750,Azcapotzalco
02760,Azcapotzalco
02760,Azcapotzalco
02770,Azcapotzalco
02780,Azcapotzalco
02790,Azcapotzalco
02800,Azcapotzalco
02810,Azcapotzalco
02810,Azcapotzalco
02830,Azcapotzalco
02840,Azcapotzalco
02860,Azcapotzalco
02870,Azcapotzalco
02900,Azcapotzalco
02910,Azcapotzalco
02920,Azcapotzalco
02930,Azcapotzalco
02940,Azcapotzalco
02950,Azcapotzalco
02960,Azcapotzalco
02970,Azcapotzalco
02980,Azcapotzalco
02980,Azcapotzalco
02990,Azcapotzalco
03000,Benito Juárez
03010,Benito Juárez
03020,Benito Juárez
03023,Benito Juárez
03100,Benito Juárez
03100,Benito Juárez
01000,Álvaro Obregón
01010,Álvaro Obregón
01020,Álvaro Obregón
01030,Álvaro Obregón
01030,Álvaro Obregón
01040,Álvaro Obregón
01049,Álvaro Obregón
01050,Álvaro Obregón
01060,Álvaro Obregón
01060,Álvaro Obregón
01070,Álvaro Obregón
01080,Álvaro Obregón
01089,Álvaro Obregón
01090,Álvaro Obregón
01090,Álvaro Obregón
01090,Álvaro Obregón
01100,Álvaro Obregón
01109,Álvaro Obregón
01110,Álvaro Obregón
01110,Álvaro Obregón
01110,Álvaro Obregón
01110,Álvaro Obregón
01120,Álvaro Obregón
01120,Álvaro Obregón
01120,Álvaro Obregón
01120,Álvaro Obregón
01125,Álvaro Obregón
01130,Álvaro Obregón
01130,Álvaro Obregón
01130,Álvaro Obregón
01139,Álvaro Obregón
01140,Álvaro Obregón
01140,Álvaro Obregón
01150,Álvaro Obregón
01150,Álvaro Obregón
01160,Álvaro Obregón
01160,Álvaro Obregón
01160,Álvaro Obregón
01160,Álvaro Obregón
01170,Álvaro Obregón
01180,Álvaro Obregón
01180,Álvaro Obregón
01180,Álvaro Obregón
01200,Álvaro Obregón
01210,Álvaro Obregón
01219,Álvaro Obregón
01220,Álvaro Obregón
01220,Álvaro Obregón
01220,Álvaro Obregón
01220,Álvaro Obregón
01220,Álvaro Obregón
01857,Álvaro Obregón
01859,Álvaro Obregón
01860,Álvaro Obregón
01863,Álvaro Obregón
01870,Álvaro Obregón
01900,Álvaro Obregón
01904,Álvaro Obregón
02000,Azcapotzalco
02010,Azcapotzalco
02010,Azcapotzalco
02010,Azcapotzalco
02020,Azcapotzalco
02020,Azcapotzalco
02040,Azcapotzalco
02040,Azcapotzalco
02050,Azcapotzalco
02050,Azcapotzalco
02060,Azcapotzalco
02060,Azcapotzalco
02070,Azcapotzalco
02070,Azcapotzalco
02080,Azcapotzalco
02080,Azcapotzalco
02090,Azcapotzalco
02099,Azcapotzalco
02100,Azcapotzalco
02120,Azcapotzalco
02128,Azcapotzalco
02129,Azcapotzalco
02130,Azcapotzalco
02140,Azcapotzalco
02150,Azcapotzalco
02160,Azcapotzalco
02200,Azcapotzalco
02230,Azcapotzalco
02240,Azcapotzalco
02240,Azcapotzalco
02250,Azcapotzalco
02300,Azcapotzalco
02310,Azcapotzalco
02320,Azcapotzalco
02330,Azcapotzalco
02340,Azcapotzalco
02360,Azcapotzalco
02400,Azcapotzalco
02410,Azcapotzalco
02420,Azcapotzalco
02440,Azcapotzalco
02459,Azcapotzalco
02460,Azcapotzalco
02470,Azcapotzalco
09360,Iztapalapa
09400,Iztapalapa
09400,Iztapalapa
09410,Iztapalapa
09410,Iztapalapa
09410,Iztapalapa
09410,Iztapalapa
09420,Iztapalapa
09420,Iztapalapa
09429,Iztapalapa
09430,Iztapalapa
09430,Iztapalapa
09438,Iztapalapa
09440,Iztapalapa
09440,Iztapalapa
09440,Iztapalapa
09450,Iztapalapa
09460,Iztapalapa
09470,Iztapalapa
09479,Iztapalapa
09480,Iztapalapa
09500,Iztapalapa
09500,Iztapalapa
09510,Iztapalapa
09520,Iztapalapa
09520,Iztapalapa
09530,Iztapalapa
09550,Iztapalapa
09560,Iztapalapa
09570,Iztapalapa
09578,Iztapalapa
09600,Iztapalapa
09608,Iztapalapa
09609,Iztapalapa
09620,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09630,Iztapalapa
09637,Iztapalapa
09638,Iztapalapa
09640,Iztapalapa
09640,Iztapalapa
09648,Iztapalapa
11280,Miguel Hidalgo
11289,Miguel Hidalgo
11290,Miguel Hidalgo
11290,Miguel Hidalgo
11300,Miguel Hidalgo
11310,Miguel Hidalgo
11320,Miguel Hidalgo
11320,Miguel Hidalgo
11330,Miguel Hidalgo
11340,Miguel Hidalgo
11350,Miguel Hidalgo
11360,Miguel Hidalgo
11370,Miguel Hidalgo
11400,Miguel Hidalgo
11410,Miguel Hidalgo
11410,Miguel Hidalgo
11420,Miguel Hidalgo
11430,Miguel Hidalgo
11430,Miguel Hidalgo
11440,Miguel Hidalgo
11440,Miguel Hidalgo
11450,Miguel Hidalgo
11450,Miguel Hidalgo
11450,Miguel Hidalgo
11460,Miguel Hidalgo
11460,Miguel Hidalgo
11460,Miguel Hidalgo
11460,Miguel Hidalgo
11470,Miguel Hidalgo
11470,Miguel Hidalgo
11480,Miguel Hidalgo
11480,Miguel Hidalgo
11489,Miguel Hidalgo
11490,Miguel Hidalgo
11490,Miguel Hidalgo
11500,Miguel Hidalgo
11510,Miguel Hidalgo
11520,Miguel Hidalgo
11529,Miguel Hidalgo
11530,Miguel Hidalgo
11540,Miguel Hidalgo
11550,Miguel Hidalgo
11560,Miguel Hidalgo
11570,Miguel Hidalgo
11580,Miguel Hidalgo
11590,Miguel Hidalgo
11600,Miguel Hidalgo
11610,Miguel Hidalgo
11619,Miguel Hidalgo
11650,Miguel Hidalgo
09839,Iztapalapa
09839,Iztapalapa
09840,Iztapalapa
09849,Iztapalapa
09850,Iztapalapa
09850,Iztapalapa
09850,Iztapalapa
09856,Iztapalapa
09856,Iztapalapa
09858,Iztapalapa
09859,Iztapalapa
09860,Iztapalapa
09860,Iztapalapa
09860,Iztapalapa
09860,Iztapalapa
09860,Iztapalapa
09860,Iztapalapa
09868,Iztapalapa
09870,Iztapalapa
09870,Iztapalapa
09870,Iztapalapa
09870,Iztapalapa
09880,Iztapalapa
09880,Iztapalapa
09890,Iztapalapa
09897,Iztapalapa
09900,Iztapalapa
09900,Iztapalapa
09900,Iztapalapa
09910,Iztapalapa
09920,Iztapalapa
09930,Iztapalapa
09940,Iztapalapa
09960,Iztapalapa
09960,Iztapalapa
09960,Iztapalapa
09960,Iztapalapa
09960,Iztapalapa
09969,Iztapalapa
09970,Iztapalapa
10000,La Magdalena Contreras
10010,La Magdalena Contreras
10010,La Magdalena Contreras
10020,La Magdalena Contreras
10130,La Magdalena Contreras
10200,La Magdalena Contreras
10300,La Magdalena Contreras
10320,La Magdalena Contreras
10330,La Magdalena Contreras
10340,La Magdalena Contreras
10350,La Magdalena Contreras
10360,La Magdalena Contreras
10368,La Magdalena Contreras
10369,La Magdalena Contreras
10369,La Magdalena Contreras
