pc,locality
10370,La Magdalena Contreras
14270,Tlalpan
14270,Tlalpan
14275,Tlalpan
14300,Tlalpan
14300,Tlalpan
14300,Tlalpan
14308,Tlalpan
14310,Tlalpan
14310,Tlalpan
14320,Tlalpan
14325,Tlalpan
14326,Tlalpan
14330,Tlalpan
14330,Tlalpan
14340,Tlalpan
14340,Tlalpan
14350,Tlalpan
14357,Tlalpan
14357,Tlalpan
14360,Tlalpan
14360,Tlalpan
14370,Tlalpan
14370,Tlalpan
14370,Tlalpan
14376,Tlalpan
14377,Tlalpan
14380,Tlalpan
14380,Tlalpan
14386,Tlalpan
14387,Tlalpan
14388,Tlalpan
14389,Tlalpan
14390,Tlalpan
14390,Tlalpan
14390,Tlalpan
14390,Tlalpan
14400,Tlalpan
14406,Tlalpan
14408,Tlalpan
14409,Tlalpan
14410,Tlalpan
14410,Tlalpan
14420,Tlalpan
14420,Tlalpan
14420,Tlalpan
14426,Tlalpan
14426,Tlalpan
14427,Tlalpan
14427,Tlalpan
14429,Tlalpan
14430,Tlalpan
14430,Tlalpan
14438,Tlalpan
14439,Tlalpan
14440,Tlalpan
14449,Tlalpan
14449,Tlalpan
14449,Tlalpan
14460,Tlalpan
14470,Tlalpan
14476,Tlalpan
01619,Álvaro Obregón
01620,Álvaro Obregón
01630,Álvaro Obregón
01630,Álvaro Obregón
01630,Álvaro Obregón
01640,Álvaro Obregón
01645,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01650,Álvaro Obregón
01700,Álvaro Obregón
01700,Álvaro Obregón
01700,Álvaro Obregón
01700,Álvaro Obregón
01700,Álvaro Obregón
01700,Álvaro Obregón
01708,Álvaro Obregón
01708,Álvaro Obregón
01710,Álvaro Obregón
01710,Álvaro Obregón
01720,Álvaro Obregón
01729,Álvaro Obregón
01730,Álvaro Obregón
01730,Álvaro Obregón
01740,Álvaro Obregón
01740,Álvaro Obregón
01740,Álvaro Obregón
01750,Álvaro Obregón
01750,Álvaro Obregón
01750,Álvaro Obregón
01759,Álvaro Obregón
01760,Álvaro Obregón
01760,Álvaro Obregón
01760,Álvaro Obregón
01770,Álvaro Obregón
01770,Álvaro Obregón
01780,Álvaro Obregón
01780,Álvaro Obregón
01789,Álvaro Obregón
01790,Álvaro Obregón
01790,Álvaro Obregón
01800,Álvaro Obregón
01807,Álvaro Obregón
01810,Álvaro Obregón
01820,Álvaro Obregón
01820,Álvaro Obregón
01830,Álvaro Obregón
01840,Álvaro Obregón
01849,Álvaro Obregón
01849,Álvaro Obregón
07890,Gustavo A. Madero
07899,Gustavo A. Madero
07900,Gustavo A. Madero
07910,Gustavo A. Madero
07918,Gustavo A. Madero
07919,Gustavo A. Madero
07920,Gustavo A. Madero
07920,Gustavo A. Madero
07930,Gustavo A. Madero
07939,Gustavo A. Madero
07940,Gustavo A. Madero
07950,Gustavo A. Madero
07960,Gustavo A. Madero
07960,Gustavo A. Madero
07960,Gustavo A. Madero
07969,Gustavo A. Madero
07969,Gustavo A. Madero
07970,Gustavo A. Madero
07979,Gustavo A. Madero
07979,Gustavo A. Madero
07980,Gustavo A. Madero
07990,Gustavo A. Madero
08000,Iztacalco
08010,Iztacalco
08020,Iztacalco
08030,Iztacalco
08040,Iztacalco
08100,Iztacalco
08200,Iztacalco
08210,Iztacalco
08220,Iztacalco
08230,Iztacalco
08240,Iztacalco
08300,Iztacalco
08310,Iztacalco
08320,Iztacalco
08400,Iztacalco
08420,Iztacalco
08500,Iztacalco
08510,Iztacalco
08600,Iztacalco
08610,Iztacalco
08620,Iztacalco
08650,Iztacalco
08700,Iztacalco
08710,Iztacalco
08720,Iztacalco
08730,Iztacalco
08760,Iztacalco
08760,Iztacalco
08760,Iztacalco
08770,Iztacalco
08800,Iztacalco
06760,Cuauhtémoc
06780,Cuauhtémoc
06800,Cuauhtémoc
06820,Cuauhtémoc
06840,Cuauhtémoc
06850,Cuauhtémoc
06860,Cuauhtémoc
06870,Cuauhtémoc
06880,Cuauhtémoc
06890,Cuauhtémoc
06900,Cuauhtémoc
06920,Cuauhtémoc
07000,Gustavo A. Madero
07010,Gustavo A. Madero
07010,Gustavo A. Madero
07010,Gustavo A. Madero
07020,Gustavo A. Madero
07040,Gustavo A. Madero
07050,Gustavo A. Madero
07058,Gustavo A. Madero
07060,Gustavo A. Madero
07069,Gustavo A. Madero
07070,Gustavo A. Madero
07070,Gustavo A. Madero
07070,Gustavo A. Madero
07080,Gustavo A. Madero
07089,Gustavo A. Madero
07090,Gustavo A. Madero
07090,Gustavo A. Madero
07100,Gustavo A. Madero
07100,Gustavo A. Madero
07109,Gustavo A. Madero
07110,Gustavo A. Madero
07119,Gustavo A. Madero
07119,Gustavo A. Madero
07130,Gustavo A. Madero
07130,Gustavo A. Madero
07140,Gustavo A. Madero
07140,Gustavo A. Madero
07140,Gustavo A. Madero
07140,Gustavo A. Madero
07144,Gustavo A. Madero
07144,Gustavo A. Madero
07149,Gustavo A. Madero
07150,Gustavo A. Madero
07150,Gustavo A. Madero
07160,Gustavo A. Madero
07164,Gustavo A. Madero
07164,Gustavo A. Madero
07164,Gustavo A. Madero
07164,Gustavo A. Madero
07170,Gustavo A. Madero
07180,Gustavo A. Madero
07180,Gustavo A. Madero
07180,Gustavo A. Madero
08810,Iztacalco
08830,Iztacalco
08840,Iztacalco
08900,Iztacalco
08910,Iztacalco
08920,Iztacalco
08930,Iztacalco
09000,Iztapalapa
09000,Iztapalapa
09000,Iztapalapa
09000,Iztapalapa
09000,Iztapalapa
09000,Iztapalapa
09000,Iztapalapa
09010,Iztapalapa
09020,Iztapalapa
09030,Iztapalapa
09040,Iztapalapa
09060,Iztapalapa
09060,Iztapalapa
09070,Iztapalapa
09080,Iztapalapa
09089,Iztapalapa
09090,Iztapalapa
09099,Iztapalapa
09100,Iztapalapa
09130,Iztapalapa
09140,Iztapalapa
09180,Iztapalapa
09200,Iztapalapa
09208,Iztapalapa
09209,Iztapalapa
09210,Iztapalapa
09220,Iztapalapa
09230,Iztapalapa
09230,Iztapalapa
09230,Iztapalapa
09230,Iztapalapa
09239,Iztapalapa
09240,Iztapalapa
09250,Iztapalapa
09260,Iztapalapa
09270,Iztapalapa
09280,Iztapalapa
09290,Iztapalapa
09300,Iztapalapa
09310,Iztapalapa
09310,Iztapalapa
09310,Iztapalapa
09319,Iztapalapa
09320,Iztapalapa
09350,Iztapalapa
09359,Iztapalapa
09360,Iztapalapa
10378,La Magdalena Contreras
10379,La Magdalena Contreras
10380,La Magdalena Contreras
10400,La Magdalena Contreras
10500,La Magdalena Contreras
10580,La Magdalena Contreras
10600,La Magdalena Contreras
10610,La Magdalena Contreras
10620,La Magdalena Contreras
10630,La Magdalena Contreras
10640,La Magdalena Contreras
10640,La Magdalena Contreras
10640,La Magdalena Contreras
10660,La Magdalena Contreras
10700,La Magdalena Contreras
10710,La Magdalena Contreras
10800,La Magdalena Contreras
10810,La Magdalena Contreras
10820,La Magdalena Contreras
10830,La Magdalena Contreras
10840,La Magdalena Contreras
10840,La Magdalena Contreras
10900,La Magdalena Contreras
10910,La Magdalena Contreras
10920,La Magdalena Contreras
10926,La Magdalena Contreras
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11000,Miguel Hidalgo
11040,Miguel Hidalgo
11100,Miguel Hidalgo
11100,Miguel Hidalgo
11200,Miguel Hidalgo
11200,Miguel Hidalgo
11210,Miguel Hidalgo
11220,Miguel Hidalgo
11230,Miguel Hidalgo
11240,Miguel Hidalgo
11250,Miguel Hidalgo
11260,Miguel Hidalgo
11260,Miguel Hidalgo
11270,Miguel Hidalgo
13610,Tláhuac
13625,Tláhuac
13630,Tláhuac
13640,Tláhuac
13700,Tláhuac
13700,Tláhuac
14000,Tlalpan
14000,Tlalpan
14010,Tlalpan
14020,Tlalpan
14030,Tlalpan
14039,Tlalpan
14040,Tlalpan
14040,Tlalpan
14049,Tlalpan
14050,Tlalpan
14060,Tlalpan
14070,Tlalpan
14070,Tlalpan
14070,Tlalpan
14080,Tlalpan
14080,Tlalpan
14090,Tlalpan
14100,Tlalpan
14100,Tlalpan
14100,Tlalpan
14100,Tlalpan
14100,Tlalpan
14108,Tlalpan
14110,Tlalpan
14120,Tlalpan
14140,Tlalpan
14150,Tlalpan
14160,Tlalpan
14200,Tlalpan
14200,Tlalpan
14208,Tlalpan
14209,Tlalpan
14210,Tlalpan
14219,Tlalpan
14219,Tlalpan
14220,Tlalpan
14220,Tlalpan
14230,Tlalpan
14239,Tlalpan
14240,Tlalpan
14240,Tlalpan
14248,Tlalpan
14250,Tlalpan
14250,Tlalpan
14250,Tlalpan
14250,Tlalpan
14260,Tlalpan
14260,Tlalpan
14266,Tlalpan
14267,Tlalpan
14268,Tlalpan
14269,Tlalpan
15870,Venustiano Carranza
15900,Venustiano Carranza
15960,Venustiano Carranza
15970,Venustiano Carranza
15980,Venustiano Carranza
15990,Venustiano Carranza
16000,Xochimilco
16000,Xochimilco
16000,Xochimilco
16010,Xochimilco
16010,Xochimilco
16010,Xochimilco
16010,Xochimilco
16020,Xochimilco
16020,Xochimilco
16029,Xochimilco
16030,Xochimilco
16030,Xochimilco
16030,Xochimilco
16030,Xochimilco
16034,Xochimilco
16035,Xochimilco
16035,Xochimilco
16036,Xochimilco
16038,Xochimilco
16040,Xochimilco
16040,Xochimilco
16050,Xochimilco
16050,Xochimilco
16050,Xochimilco
16059,Xochimilco
16060,Xochimilco
16070,Xochimilco
16070,Xochimilco
16070,Xochimilco
16070,Xochimilco
16080,Xochimilco
16080,Xochimilco
16080,Xochimilco
16080,Xochimilco
16083,Xochimilco
16090,Xochimilco
16090,Xochimilco
16090,Xochimilco
16100,Xochimilco
16200,Xochimilco
16210,Xochimilco
16210,Xochimilco
16240,Xochimilco
16300,Xochimilco
16310,Xochimilco
16320,Xochimilco
16340,Xochimilco
16400,Xochimilco
16410,Xochimilco
16420,Xochimilco
16428,Xochimilco
16429,Xochimilco
04640,Coyoacán
04650,Coyoacán
04660,Coyoacán
04700,Coyoacán
04710,Coyoacán
04730,Coyoacán
04730,Coyoacán
04739,Coyoacán
04800,Coyoacán
04800,Coyoacán
04810,Coyoacán
04815,Coyoacán
04830,Coyoacán
04840,Coyoacán
04870,Coyoacán
04890,Coyoacán
04890,Coyoacán
04899,Coyoacán
04909,Coyoacán
04909,Coyoacán
04909,Coyoacán
04910,Coyoacán
04918,Coyoacán
04919,Coyoacán
04920,Coyoacán
04929,Coyoacán
04930,Coyoacán
04938,Coyoacán
04939,Coyoacán
04940,Coyoacán
04950,Coyoacán
04960,Coyoacán
04970,Coyoacán
04980,Coyoacán
04980,Coyoacán
04980,Coyoacán
05000,Cuajimalpa de Morelos
05010,Cuajimalpa de Morelos
05020,Cuajimalpa de Morelos
05030,Cuajimalpa de Morelos
05030,Cuajimalpa de Morelos
05050,Cuajimalpa de Morelos
05100,Cuajimalpa de Morelos
05110,Cuajimalpa de Morelos
05118,Cuajimalpa de Morelos
05119,Cuajimalpa de Morelos
05120,Cuajimalpa de Morelos
05129,Cuajimalpa de Morelos
05200,Cuajimalpa de Morelos
05219,Cuajimalpa de Morelos
05220,Cuajimalpa de Morelos
05230,Cuajimalpa de Morelos
05240,Cuajimalpa de Morelos
05260,Cuajimalpa de Morelos
05269,Cuajimalpa de Morelos
07510,Gustavo A. Madero
07520,Gustavo A. Madero
07530,Gustavo A. Madero
07540,Gustavo A. Madero
07550,Gustavo A. Madero
07560,Gustavo A. Madero
07570,Gustavo A. Madero
07580,Gustavo A. Madero
07600,Gustavo A. Madero
07620,Gustavo A. Madero
07630,Gustavo A. Madero
07640,Gustavo A. Madero
07650,Gustavo A. Madero
07670,Gustavo A. Madero
07680,Gustavo A. Madero
07700,Gustavo A. Madero
07707,Gustavo A. Madero
07708,Gustavo A. Madero
07720,Gustavo A. Madero
